"","Stk.design","accuracy","kappa","AOA","Val_hit","Val_over","runtime"
"1","FFS2_tp1_c15",1,1,0.9603,0.9443,0.4606,"74.4854 secs"
"2","FFS2_tp1_c30",1,1,0.9596,0.9673,0.4771,"96.0623 secs"
"3","FFS2_tp1_c45",0.9976,0.9941,0.9496,0.9841,0.5312,"183.6217 secs"
"4","FFS2_tp1_c60",0.9832,0.9586,0.9522,0.9929,0.5461,"322.4385 secs"
"5","FFS2_tp1_c75",0.9614,0.7321,0.9535,0.9982,0.5864,"604.8843 secs"
"6","FFS2_tp1_c90",0.9342,0.6916,0.9555,1,0.6254,"820.3911 secs"
"7","FFS2_tp2_c15",0.9652,0.8988,0.9567,0.992,0.575,"76.3331 secs"
"8","FFS2_tp2_c30",0.9796,0.9489,0.9364,0.992,0.5605,"143.4681 secs"
"9","FFS2_tp2_c45",0.9554,0.8862,0.9429,0.9938,0.6172,"207.1562 secs"
"10","FFS2_tp2_c60",0.9356,0.6857,0.9428,0.9973,0.6243,"399.9253 secs"
"11","FFS2_tp2_c75",0.8896,0.6159,0.9405,0.9965,0.6186,"571.8744 secs"
"12","FFS2_tp2_c90",0.8476,0.5596,0.9368,0.9991,0.6294,"972.0199 secs"
