"","Stk.design","accuracy","kappa","AOA","Val_hit","Val_over","runtime"
"1","rgb_tp1_c15",0.9304,0.8641,0.9962,0.9196,0.4526,"5.7737 secs"
"2","rgb_tp1_c30",0.9138,0.8435,0.9933,0.9407,0.4514,"5.8005 secs"
"3","rgb_tp1_c45",0.8694,0.7659,0.9857,0.9163,0.4368,"7.2929 secs"
"4","rgb_tp1_c60",0.8356,0.7046,0.9856,0.9219,0.4078,"9.726 secs"
"5","rgb_tp1_c75",0.8264,0.6851,0.9851,0.9363,0.4211,"13.2477 secs"
"6","rgb_tp1_c90",0.8034,0.6479,0.9844,0.9405,0.4267,"25.2158 secs"
"7","rgb_tp2_c15",0.8191,0.5684,0.9884,0.9049,0.4358,"4.9259 secs"
"8","rgb_tp2_c30",0.8492,0.6176,0.9651,0.8589,0.4089,"6.182 secs"
"9","rgb_tp2_c45",0.7795,0.5111,0.9542,0.8872,0.3884,"7.7697 secs"
"10","rgb_tp2_c60",0.7943,0.4909,0.9443,0.8746,0.3764,"9.5421 secs"
"11","rgb_tp2_c75",0.7702,0.4362,0.9461,0.8616,0.3742,"15.183 secs"
"12","rgb_tp2_c90",0.7545,0.4124,0.9548,0.8719,0.3724,"25.9657 secs"
"13","rgb2_tp1_c15",0.9587,0.8931,0.939,0.9169,0.6955,"5.6225 secs"
"14","rgb2_tp1_c30",0.9549,0.7172,0.9874,0.9443,0.6225,"6.2066 secs"
"15","rgb2_tp1_c45",0.9254,0.675,0.9893,0.9478,0.6151,"7.8869 secs"
"16","rgb2_tp1_c60",0.8768,0.5979,0.9929,0.9576,0.6136,"12.2817 secs"
"17","rgb2_tp1_c75",0.8272,0.5231,0.9938,0.9682,0.6322,"13.9788 secs"
"18","rgb2_tp1_c90",0.7639,0.4445,0.9947,0.9832,0.6695,"17.5164 secs"
"19","rgb2_tp2_c15",0.9144,0.7794,0.9925,0.9549,0.7122,"5.8451 secs"
"20","rgb2_tp2_c30",0.864,0.556,0.9931,0.962,0.713,"7.3353 secs"
"21","rgb2_tp2_c45",0.8019,0.4572,0.9847,0.9567,0.6609,"9.118 secs"
"22","rgb2_tp2_c60",0.754,0.4192,0.9765,0.9363,0.6696,"12.1214 secs"
"23","rgb2_tp2_c75",0.686,0.3366,0.9767,0.9514,0.6875,"14.8929 secs"
"24","rgb2_tp2_c90",0.641,0.2915,0.9739,0.9629,0.7236,"19.3567 secs"
"25","rgb3_tp1_c15",0.9057,0.7069,0.8977,0.9747,0.634,"5.3509 secs"
"26","rgb3_tp1_c30",0.9344,0.7144,0.9618,0.9729,0.6255,"6.0598 secs"
"27","rgb3_tp1_c45",0.9409,0.7176,0.9588,0.9786,0.579,"8.797 secs"
"28","rgb3_tp1_c60",0.9518,0.7282,0.9603,0.9786,0.5722,"8.6553 secs"
"29","rgb3_tp1_c75",0.9374,0.7012,0.9582,0.9782,0.5707,"10.4193 secs"
"30","rgb3_tp1_c90",0.9207,0.6762,0.9599,0.9817,0.5894,"12.9704 secs"
"31","rgb3_tp2_c15",0.8116,0.4445,0.9889,0.9686,0.5411,"5.4833 secs"
"32","rgb3_tp2_c30",0.9014,0.4469,0.9831,0.9677,0.5151,"6.2638 secs"
"33","rgb3_tp2_c45",0.9281,0.4784,0.9875,0.9756,0.5442,"6.6592 secs"
"34","rgb3_tp2_c60",0.9025,0.4598,0.9815,0.9812,0.5811,"8.7491 secs"
"35","rgb3_tp2_c75",0.8789,0.4303,0.9698,0.9804,0.6241,"11.1692 secs"
"36","rgb3_tp2_c90",0.8513,0.3971,0.9729,0.983,0.6151,"14.2878 secs"
