"","Stk.design","accuracy","kappa","AOA","Val_hit","Val_over","runtime"
"1","FFS3_tp1_c15",1,1,0.9519,0.9799,0.3468,"76.628 secs"
"2","FFS3_tp1_c30",1,1,0.9409,0.9865,0.3628,"92.9205 secs"
"3","FFS3_tp1_c45",0.9956,0.9887,0.8093,0.9878,0.6996,"158.2986 secs"
"4","FFS3_tp1_c60",0.9836,0.7668,0.8062,0.9978,0.6437,"325.471 secs"
"5","FFS3_tp1_c75",0.9804,0.7625,0.8128,0.9878,0.6429,"529.8354 secs"
"6","FFS3_tp1_c90",0.9671,0.7447,0.8731,1,0.5862,"492.8633 secs"
"7","FFS3_tp2_c15",0.9238,0.7231,0.9439,0.9878,0.7317,"78.0169 secs"
"8","FFS3_tp2_c30",0.9593,0.866,0.9139,0.9935,0.4759,"122.7034 secs"
"9","FFS3_tp2_c45",0.9371,0.665,0.8866,0.9939,0.609,"180.3379 secs"
"10","FFS3_tp2_c60",0.9089,0.56,0.8967,1,0.6007,"318.9819 secs"
"11","FFS3_tp2_c75",0.915,0.4834,0.9098,0.9961,0.5633,"435.7149 secs"
"12","FFS3_tp2_c90",0.8868,0.4336,0.9229,0.9952,0.6454,"538.0846 secs"
